ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Feature_IDs,Glottolog_Languoid_Level,Family,Speaker_Area
maip1246,Maipure,,4.8,-67.5,maip1246,,7,dialect,Arawakan,dialects
yavi1245,Yavitero,,,,yavi1245,,11,dialect,Arawakan,dialects
bare1276,Baré,,1.91649,-66.828,bare1276,,2,language,Arawakan,languages
curr1243,Curripaco,,0.69618,-67.5028,curr1243,,3,language,Arawakan,languages
guar1293,Baniva de Maroa,,1.80835,-66.922505,guar1293,,1 4,language,Arawakan,languages
guin1258,Guinau,,4.797607,-64.73877,guin1258,,5,language,Arawakan,languages
maip1247,Maipure-Avane,,4.8,-67.5,maip1247,,7,language,Arawakan,languages
mand1448,Mandahuaca,,1.48,-66.52,mand1448,,8,language,Arawakan,languages
mawa1268,Mawakwa,,3.11,-66.238404,mawa1268,,9,language,Bookkeeping,languages
piap1246,Piapoco,,4.37718,-68.5953,piap1246,,10,language,Arawakan,languages
puin1248,Puinave,,3.92974,-67.6886,puin1248,,6,language,,languages
yavi1244,Yavitero-Pareni,,2.924844,-67.438886,yavi1244,,11,language,Arawakan,languages
araw1281,Arawakan,,,,araw1281,,1 2 3 4 5 7 8 10 11,family,,families
book1242,Bookkeeping,,,,book1242,,9,family,,families
