id,name,year,glottocode,map_name_full,note
1,Baniba,2017,guar1293,Lámina 10. Localización de algunos grupos Arawacos.,
2,Bare,2017,bare1276,Lámina 10. Localización de algunos grupos Arawacos.,
3,Curripaco,2017,curr1243,Lámina 10. Localización de algunos grupos Arawacos.,
4,Guarequena,2017,guar1293,Lámina 10. Localización de algunos grupos Arawacos.,
5,Guinao,2017,guin1258,Lámina 10. Localización de algunos grupos Arawacos.,
6,Guipunave,2017,puin1248,Lámina 10. Localización de algunos grupos Arawacos.,
7,Maipure,2017,maip1246,Lámina 10. Localización de algunos grupos Arawacos.,
8,Mandahuaca,2017,mand1448,Lámina 10. Localización de algunos grupos Arawacos.,
9,Mawakwa,2017,mawa1268,Lámina 10. Localización de algunos grupos Arawacos.,
10,Piapoco,2017,piap1246,Lámina 10. Localización de algunos grupos Arawacos.,
11,Yavitero,2017,yavi1245,Lámina 10. Localización de algunos grupos Arawacos.,
